config,archetype,policy,day,rate_med,balance_med,earned_med
bylo,hardcore,exploit,26,5832.0,65943972,4111560
bylo,hardcore,exploit,27,6135.8,69763781,4228301
bylo,hardcore,exploit,28,6135.8,74057176,4325704
bylo,hardcore,exploit,29,6196.5,78499530,4368532
bylo,hardcore,exploit,30,6196.5,82664226,4368532
bylo,midcore,whale,1,25.0,15,1705
bylo,midcore,whale,2,78.5,6654,20929
bylo,midcore,whale,3,131.0,24834,46661
bylo,midcore,whale,4,182.5,56022,75599
bylo,midcore,whale,5,270.5,60374,109472
bylo,midcore,whale,6,342.5,170234,160138
bylo,midcore,whale,7,396.0,168904,196085
bylo,midcore,whale,8,474.5,361354,221719
bylo,midcore,whale,9,552.2,612555,260385
bylo,midcore,whale,10,619.0,938242,306316
bylo,midcore,whale,11,684.5,1299675,339202
bylo,midcore,whale,12,769.8,1665426,382458
bylo,midcore,whale,13,830.2,2086774,426269
bylo,midcore,whale,14,902.0,2527282,461865
bylo,midcore,whale,15,995.5,3026295,497234
bylo,midcore,whale,16,1055.0,3562530,547140
bylo,midcore,whale,17,1141.0,4182474,585646
bylo,midcore,whale,18,1199.5,4823969,620998
bylo,midcore,whale,19,1300.0,5480218,659302
bylo,midcore,whale,20,1380.2,6268335,707920
bylo,midcore,whale,21,1446.5,7055404,749490
bylo,midcore,whale,22,1537.8,7806614,785268
bylo,midcore,whale,23,1597.0,8598968,842948
bylo,midcore,whale,24,1699.5,9512446,868248
bylo,midcore,whale,25,1756.0,10418768,924210
bylo,midcore,whale,26,1831.8,11308911,953568
bylo,midcore,whale,27,1892.5,12255821,992195
bylo,midcore,whale,28,1999.5,13220296,1034862
bylo,midcore,whale,29,2069.8,14235989,1086540
bylo,midcore,whale,30,2137.5,15351255,1124928
bylo,hardcore,whale,1,76.0,1682,13208
bylo,hardcore,whale,2,237.0,17127,90466
bylo,hardcore,whale,3,413.5,88559,213592
bylo,hardcore,whale,4,618.5,160080,343002
bylo,hardcore,whale,5,826.0,615810,492841
bylo,hardcore,whale,6,1030.0,1250315,630104
bylo,hardcore,whale,7,1250.2,2005430,780138
bylo,hardcore,whale,8,1457.0,2900947,924762
bylo,hardcore,whale,9,1690.0,3971968,1097898
bylo,hardcore,whale,10,1916.8,5227176,1269320
bylo,hardcore,whale,11,2114.0,6653070,1412998
bylo,hardcore,whale,12,2282.0,8195975,1528558
bylo,hardcore,whale,13,2501.2,9809248,1646550
bylo,hardcore,whale,14,2626.5,11570386,1761550
bylo,hardcore,whale,15,2794.5,13638495,1902090
bylo,hardcore,whale,16,2916.0,15579603,2033362
bylo,hardcore,whale,17,2916.0,17765870,2055780
bylo,hardcore,whale,18,2916.0,19709225,2055780
bylo,hardcore,whale,19,2976.8,21920240,2070134
bylo,hardcore,whale,20,3037.5,24045027,2085045
bylo,hardcore,whale,21,3037.5,26183020,2141437
bylo,hardcore,whale,22,3037.5,28378059,2141437
bylo,hardcore,whale,23,3037.5,30752011,2141437
bylo,hardcore,whale,24,3037.5,32908462,2141580
bylo,hardcore,whale,25,3037.5,34999904,2161387
bylo,hardcore,whale,26,3098.2,37216602,2166952
bylo,hardcore,whale,27,3159.0,39972288,2185691
bylo,hardcore,whale,28,3159.0,42606611,2227095
bylo,hardcore,whale,29,3280.5,44888620,2242586
bylo,hardcore,whale,30,3402.0,47328690,2312752
stalo,midcore,whale,1,9.0,0,270
stalo,midcore,whale,2,21.0,165,3231
stalo,midcore,whale,3,38.5,3610,7560
stalo,midcore,whale,4,47.0,4638,12175
stalo,midcore,whale,5,54.0,9294,14702
stalo,midcore,whale,6,71.2,13585,17296
stalo,midcore,whale,7,88.8,12728,22330
stalo,midcore,whale,8,94.0,34221,26946
stalo,midcore,whale,9,99.0,50938,28318
stalo,midcore,whale,10,103.0,27418,30220
stalo,midcore,whale,11,102.0,38084,30970
stalo,midcore,whale,12,102.0,54145,31122
stalo,midcore,whale,13,109.0,29490,31198
stalo,midcore,whale,14,115.5,35130,32729
stalo,midcore,whale,15,123.0,51215,35501
stalo,midcore,whale,16,129.0,61061,37836
stalo,midcore,whale,17,139.0,71784,38615
stalo,midcore,whale,18,147.0,79811,41982
stalo,midcore,whale,19,159.0,68308,44108
stalo,midcore,whale,20,171.0,79884,48314
stalo,midcore,whale,21,181.0,67200,52311
stalo,midcore,whale,22,190.0,71468,55228
stalo,midcore,whale,23,195.2,112946,57490
stalo,midcore,whale,24,206.0,138606,59171
stalo,midcore,whale,25,211.5,146006,61660
stalo,midcore,whale,26,211.0,153694,63448
stalo,midcore,whale,27,211.0,177702,63276
stalo,midcore,whale,28,210.5,201008,63799
stalo,midcore,whale,29,217.5,181918,64568
stalo,midcore,whale,30,208.0,193080,64915
stalo,hardcore,whale,1,17.0,115,1641
stalo,hardcore,whale,2,41.0,1390,10889
stalo,hardcore,whale,3,45.0,8590,18550
stalo,hardcore,whale,4,67.2,15589,22456
stalo,hardcore,whale,5,89.0,21160,31508
stalo,hardcore,whale,6,99.0,41348,37860
stalo,hardcore,whale,7,111.0,35374,42830
stalo,hardcore,whale,8,112.0,43768,46908
stalo,hardcore,whale,9,114.0,33376,47060
stalo,hardcore,whale,10,128.0,40760,50198
stalo,hardcore,whale,11,137.0,59924,55201
stalo,hardcore,whale,12,147.0,77845,57828
stalo,hardcore,whale,13,167.5,67681,64982
stalo,hardcore,whale,14,177.0,77094,72480
stalo,hardcore,whale,15,191.0,81138,75908
stalo,hardcore,whale,16,208.0,119944,81384
stalo,hardcore,whale,17,214.8,156500,86854
stalo,hardcore,whale,18,221.0,171680,91322
stalo,hardcore,whale,19,218.5,157802,88305
stalo,hardcore,whale,20,196.0,154066,89629
stalo,hardcore,whale,21,205.0,179240,84021
stalo,hardcore,whale,22,208.5,210935,87669
stalo,hardcore,whale,23,219.2,205038,90010
stalo,hardcore,whale,24,222.2,243144,92770
stalo,hardcore,whale,25,235.5,243959,92451
stalo,hardcore,whale,26,248.5,287640,99175
stalo,hardcore,whale,27,257.0,316738,105018
stalo,hardcore,whale,28,273.0,396580,109968
stalo,hardcore,whale,29,286.5,499694,114028
stalo,hardcore,whale,30,296.5,559092,123648
stalo,hardcore,exploit,1,9.0,215,1210
stalo,hardcore,exploit,2,30.8,2558,6185
stalo,hardcore,exploit,3,34.0,2575,13610
stalo,hardcore,exploit,4,49.0,9459,15480
stalo,hardcore,exploit,5,74.0,15789,24278
stalo,hardcore,exploit,6,89.0,25248,32939
stalo,hardcore,exploit,7,104.0,46780,39480
stalo,hardcore,exploit,8,114.0,33790,45065
stalo,hardcore,exploit,9,107.0,43995,47310
stalo,hardcore,exploit,10,106.2,28212,41690
stalo,hardcore,exploit,11,120.0,47569,46240
stalo,hardcore,exploit,12,125.0,63765,50550
stalo,hardcore,exploit,13,139.0,71050,52045
stalo,hardcore,exploit,14,155.0,67590,60005
stalo,hardcore,exploit,15,163.0,76390,66502
stalo,hardcore,exploit,16,164.5,78834,69886
stalo,hardcore,exploit,17,185.5,89979,71769
stalo,hardcore,exploit,18,194.0,128222,75962
stalo,hardcore,exploit,19,199.5,165732,82620
stalo,hardcore,exploit,20,200.5,219145,84970
stalo,hardcore,exploit,21,200.5,240835,85025
stalo,hardcore,exploit,22,213.0,210945,85552
stalo,hardcore,exploit,23,210.0,137034,87008
stalo,hardcore,exploit,24,203.5,162531,84295
stalo,hardcore,exploit,25,211.5,140750,84920
stalo,hardcore,exploit,26,212.0,154396,85705
stalo,hardcore,exploit,27,220.5,169722,89922
stalo,hardcore,exploit,28,234.0,229679,92789
stalo,hardcore,exploit,29,243.5,294632,98818
stalo,hardcore,exploit,30,241.5,357785,103260
stalo,casual,whale,1,3.0,20,60
stalo,casual,whale,2,12.0,95,945
stalo,casual,whale,3,27.0,560,3379
stalo,casual,whale,4,38.0,1565,7161
stalo,casual,whale,5,46.0,2499,9935
stalo,casual,whale,6,50.2,8134,12129
stalo,casual,whale,7,66.0,13100,13296
stalo,casual,whale,8,77.5,8478,17254
stalo,casual,whale,9,87.0,18585,20455
stalo,casual,whale,10,93.5,36510,22584
stalo,casual,whale,11,97.5,47700,24308
stalo,casual,whale,12,102.0,36498,25672
stalo,casual,whale,13,102.0,32538,26520
stalo,casual,whale,14,97.0,46744,26520
stalo,casual,whale,15,97.0,57384,25270
